k,GMM,Kmeans
2,0.9327485380116959,0.9649122807017544
3,0.9239766081871345,0.9766081871345029
4,0.9298245614035088,0.9766081871345029
5,0.9210526315789473,0.9736842105263158
6,0.9210526315789473,0.9736842105263158
7,0.9473684210526315,0.9736842105263158
8,0.9532163742690059,0.9736842105263158
9,0.9532163742690059,0.9736842105263158
10,0.9532163742690059,0.9736842105263158
15,0.956140350877193,0.9707602339181286
20,0.9619883040935673,0.9707602339181286
25,0.9707602339181286,0.9766081871345029
30,0.9766081871345029,0.9736842105263158
35,0.9766081871345029,0.9736842105263158
40,0.9766081871345029,0.9766081871345029
