k,GMM,Kmeans
2,0.6629412051787424,0.764277562086184
3,0.4854915384989881,0.6850253426066053
4,0.4277060683359368,0.5827208029038106
5,0.3915818204389547,0.49983181316795644
6,0.3581928635169588,0.47924157392409594
7,0.3901414550594775,0.4702109477343685
8,0.34351241887138473,0.34832566956078065
9,0.33387130348444555,0.4269789203710986
10,0.32813499526444784,0.31865477488861943
15,0.31006908320650206,0.2861047706702626
20,0.23417433799445256,0.24022186831887984
25,0.2207842944930482,0.22430740995301404
30,0.2154407186169585,0.21140776472112918
35,0.19893246703933118,0.19012089720223518
40,0.19116505117792335,0.18251949004896925
