k,type,score,label
2,Kmeans,0.887003,1
2,Kmeans,0.879732,1
2,Kmeans,0.38065,0
2,Kmeans,0.391445,0
2,Kmeans,0.902365,1
2,Kmeans,0.872679,1
2,Kmeans,0.109188,1
2,Kmeans,0.838595,1
2,Kmeans,0.867166,1
2,Kmeans,0.430412,0
2,Kmeans,0.906003,1
2,Kmeans,0.112391,0
2,Kmeans,0.11801,0
2,Kmeans,0.905688,1
2,Kmeans,0.894138,1
2,Kmeans,0.906742,1
2,Kmeans,0.433263,0
2,Kmeans,0.386896,1
2,Kmeans,0.344662,0
2,Kmeans,0.233186,0
2,Kmeans,0.096795,0
2,Kmeans,0.438602,0
2,Kmeans,0.859181,1
2,Kmeans,0.904962,1
2,Kmeans,0.904587,1
2,Kmeans,0.431877,0
2,Kmeans,0.856227,1
2,Kmeans,0.456432,0
2,Kmeans,0.622455,1
2,Kmeans,0.139183,0
2,Kmeans,0.307421,0
2,Kmeans,0.380284,0
2,Kmeans,-0.019444,0
2,Kmeans,-0.004185,0
2,Kmeans,0.739724,1
2,Kmeans,0.887419,1
2,Kmeans,-0.06183,0
2,Kmeans,0.390546,0
2,Kmeans,0.77158,1
2,Kmeans,0.422891,0
2,Kmeans,0.87342,1
2,Kmeans,0.781667,1
2,Kmeans,0.872679,1
2,Kmeans,0.872679,1
2,Kmeans,0.872679,1
2,Kmeans,0.723289,1
2,Kmeans,0.88725,1
2,Kmeans,0.176005,0
2,Kmeans,0.835098,1
2,Kmeans,0.128552,0
2,Kmeans,0.909138,1
2,Kmeans,0.665601,1
2,Kmeans,0.494783,1
2,Kmeans,0.90888,1
2,Kmeans,-0.284103,0
2,Kmeans,0.885914,1
2,Kmeans,0.498135,1
2,Kmeans,0.8863,1
2,Kmeans,0.90095,1
2,Kmeans,0.901543,1
2,Kmeans,0.904497,1
2,Kmeans,0.885914,1
2,Kmeans,0.450695,0
2,Kmeans,0.906929,1
2,Kmeans,0.909403,1
2,Kmeans,0.872679,1
2,Kmeans,0.895462,1
2,Kmeans,0.901543,1
2,Kmeans,0.893241,1
2,Kmeans,0.862457,1
2,Kmeans,0.895525,1
2,Kmeans,0.908219,1
2,Kmeans,0.909138,1
2,Kmeans,0.419834,0
2,Kmeans,0.906003,1
2,Kmeans,-0.201499,0
2,Kmeans,0.870514,1
2,Kmeans,0.855644,1
2,Kmeans,0.896519,1
2,Kmeans,0.755421,1
2,Kmeans,0.456774,0
2,Kmeans,0.888626,1
2,Kmeans,0.177669,0
2,Kmeans,0.909403,1
2,Kmeans,0.905821,1
2,Kmeans,0.132118,0
2,Kmeans,0.872249,1
2,Kmeans,0.350149,0
2,Kmeans,0.906742,1
2,Kmeans,0.90757,1
2,Kmeans,0.872679,1
2,Kmeans,0.889089,1
2,Kmeans,0.906646,1
2,Kmeans,0.721211,1
2,Kmeans,0.442059,0
2,Kmeans,-0.026962,0
2,Kmeans,0.44452,0
2,Kmeans,0.8863,1
2,Kmeans,0.117492,0
2,Kmeans,0.802238,1
2,Kmeans,0.431869,0
2,Kmeans,0.849043,1
2,Kmeans,0.872679,1
2,Kmeans,0.871599,1
2,Kmeans,0.905772,1
2,Kmeans,0.904643,1
2,Kmeans,0.289454,0
2,Kmeans,0.906099,1
2,Kmeans,0.872679,1
2,Kmeans,0.905772,1
2,Kmeans,0.904097,1
2,Kmeans,0.423274,0
2,Kmeans,0.900565,1
2,Kmeans,0.37339,0
2,Kmeans,0.87342,1
2,Kmeans,0.323786,0
2,Kmeans,0.442826,0
2,Kmeans,0.908219,1
2,Kmeans,0.885872,1
2,Kmeans,0.900859,1
2,Kmeans,0.180498,0
2,Kmeans,0.908661,1
2,Kmeans,0.849685,1
2,Kmeans,0.872679,1
2,Kmeans,0.906742,1
2,Kmeans,0.888626,1
2,Kmeans,0.897841,1
2,Kmeans,0.278322,0
2,Kmeans,-0.077074,0
2,Kmeans,0.904497,1
2,Kmeans,0.886644,1
2,Kmeans,0.158389,0
2,Kmeans,0.155229,0
2,Kmeans,0.876694,1
2,Kmeans,0.903279,1
2,Kmeans,0.105745,0
2,Kmeans,0.903385,1
2,Kmeans,0.881628,1
2,Kmeans,0.443223,0
2,Kmeans,0.906742,1
2,Kmeans,0.107882,0
2,Kmeans,0.900833,1
2,Kmeans,0.899873,1
2,Kmeans,0.902998,1
2,Kmeans,0.228447,0
2,Kmeans,0.906742,1
2,Kmeans,0.849292,1
2,Kmeans,0.899873,1
2,Kmeans,0.886335,1
2,Kmeans,0.434861,0
2,Kmeans,0.395536,0
2,Kmeans,-0.243902,0
2,Kmeans,-0.091638,0
2,Kmeans,0.909403,1
2,Kmeans,0.889374,1
2,Kmeans,0.408967,0
2,Kmeans,0.808202,1
2,Kmeans,0.886045,1
2,Kmeans,0.412459,0
2,Kmeans,0.455081,0
2,Kmeans,0.895462,1
2,Kmeans,0.752375,1
2,Kmeans,0.888626,1
2,Kmeans,0.89926,1
2,Kmeans,0.215853,0
2,Kmeans,0.895462,1
2,Kmeans,0.8863,1
2,Kmeans,0.872249,1
2,Kmeans,0.906742,1
2,Kmeans,0.899873,1
2,Kmeans,0.904497,1
2,Kmeans,0.901189,1
2,Kmeans,0.895462,1
2,Kmeans,0.894138,1
2,Kmeans,0.397469,0
2,Kmeans,0.891858,1
2,Kmeans,0.906646,1
2,Kmeans,0.896519,1
2,Kmeans,0.448568,0
2,Kmeans,0.87342,1
2,Kmeans,0.898403,1
2,Kmeans,0.906003,1
2,Kmeans,0.908219,1
2,Kmeans,0.909403,1
2,Kmeans,0.421256,0
2,Kmeans,0.332342,0
2,Kmeans,0.333189,0
2,Kmeans,0.895462,1
2,Kmeans,0.906742,1
2,Kmeans,0.851202,1
2,Kmeans,0.872679,1
2,Kmeans,0.859181,1
2,Kmeans,0.894138,1
2,Kmeans,0.906003,1
2,Kmeans,0.209538,0
2,Kmeans,0.899873,1
2,Kmeans,0.905962,1
2,Kmeans,0.895255,1
2,Kmeans,0.908661,1
2,Kmeans,0.151507,0
2,Kmeans,-0.177988,0
2,Kmeans,0.051609,0
2,Kmeans,0.895462,1
2,Kmeans,0.230176,0
2,Kmeans,0.906646,1
2,Kmeans,0.87342,1
2,Kmeans,0.078579,0
2,Kmeans,0.259524,0
2,Kmeans,0.905772,1
2,Kmeans,0.898403,1
2,Kmeans,0.011865,0
2,Kmeans,0.90063,1
2,Kmeans,0.779927,1
2,Kmeans,0.903289,1
2,Kmeans,0.473015,1
2,Kmeans,0.186054,0
2,Kmeans,0.598802,1
2,Kmeans,0.292597,0
2,Kmeans,0.419157,0
2,Kmeans,0.737794,1
2,Kmeans,0.895462,1
2,Kmeans,0.30547,0
2,Kmeans,0.425267,0
2,Kmeans,0.859181,1
2,Kmeans,0.872679,1
2,Kmeans,-0.04002,0
2,Kmeans,0.266917,0
2,Kmeans,0.909403,1
2,Kmeans,0.844652,1
2,Kmeans,0.905711,1
2,Kmeans,0.903147,1
2,Kmeans,0.461217,0
2,Kmeans,0.425654,0
