k,GMM,Kmeans
2,0.5807476612727103,0.6506927057324292
3,0.6252201092283097,0.7282263816060901
4,0.6102703457180607,0.7323995036177688
5,0.5830223690505987,0.6884732566440207
6,0.5656036854526884,0.6936135598129417
7,0.5417603682739469,0.6944151325681643
8,0.4428067808695906,0.4647470112000046
9,0.4465848252425286,0.6599080480301314
10,0.44671065212473965,0.43708698679680386
15,0.45549235034938873,0.48206152644114353
20,0.3760807935245162,0.42990546503360927
25,0.4279754628595168,0.4466171705808571
30,0.4257085562119076,0.4454206554852224
35,0.4167157407553567,0.4273661649927143
40,0.4216077103719611,0.4053473927190877
