k,GMM,Kmeans
2,0.5603833865814697,0.5412140575079872
3,0.5610223642172524,0.5399361022364217
4,0.6031948881789138,0.6038338658146964
5,0.5380191693290735,0.6051118210862619
6,0.6242811501597444,0.544408945686901
7,0.6543130990415336,0.576996805111821
8,0.6408945686900959,0.6332268370607029
9,0.6447284345047923,0.6479233226837061
10,0.676038338658147,0.6063897763578274
15,0.6479233226837061,0.6504792332268371
20,0.6926517571884984,0.6408945686900959
25,0.6837060702875399,0.7130990415335463
30,0.7137380191693291,0.729073482428115
35,0.7277955271565495,0.7194888178913738
40,0.6913738019169329,0.7060702875399361
