k,GMM,Kmeans
2,0.008723825677832682,0.0035388282403530807
3,0.008845487367847982,0.0032612593548133847
4,0.0306321842767171,0.031366446417799426
5,0.002862395032170761,0.028509907405014887
6,0.08084869228722047,0.004090137046004738
7,0.06288630054288967,0.008375284711264584
8,0.06280451486969012,0.0634960780887816
9,0.06016765932485724,0.07686630062301958
10,0.059249799774190114,0.026372480199255362
15,0.04343827244576808,0.048356874222565155
20,0.04912728018285181,0.029755089639110943
25,0.043559690835278685,0.05004255998165909
30,0.052196450471007565,0.06042108157238988
35,0.05660190075030258,0.05196912296483575
40,0.03814127171824943,0.04103615357354865
