k,type,score,label
2,Kmeans,0.022295,1
2,Kmeans,0.012405,1
2,Kmeans,0.040491,1
2,Kmeans,0.114474,0
2,Kmeans,0.046919,1
2,Kmeans,0.114892,0
2,Kmeans,0.020068,1
2,Kmeans,0.04533,1
2,Kmeans,0.041949,1
2,Kmeans,0.045822,1
2,Kmeans,0.023331,1
2,Kmeans,0.034934,1
2,Kmeans,0.063124,1
2,Kmeans,0.115026,0
2,Kmeans,0.032242,1
2,Kmeans,0.020189,1
2,Kmeans,0.032198,1
2,Kmeans,0.120781,0
2,Kmeans,0.032598,1
2,Kmeans,0.113791,0
2,Kmeans,0.031869,1
2,Kmeans,0.10467,0
2,Kmeans,0.004171,1
2,Kmeans,0.090951,0
2,Kmeans,0.048626,1
2,Kmeans,0.104134,0
2,Kmeans,0.054416,0
2,Kmeans,0.024764,1
2,Kmeans,0.029178,1
2,Kmeans,0.165312,0
2,Kmeans,0.05133,0
2,Kmeans,0.036882,1
2,Kmeans,0.054962,1
2,Kmeans,0.089276,0
2,Kmeans,0.029387,1
2,Kmeans,0.019202,1
2,Kmeans,0.066479,0
2,Kmeans,0.050708,1
2,Kmeans,0.06445,0
2,Kmeans,0.049809,1
2,Kmeans,0.0306,1
2,Kmeans,0.007849,1
2,Kmeans,0.016136,1
2,Kmeans,0.033865,1
2,Kmeans,0.160443,0
2,Kmeans,0.014437,1
2,Kmeans,0.101299,0
2,Kmeans,0.024752,1
2,Kmeans,0.062572,0
2,Kmeans,0.045508,1
2,Kmeans,0.191839,0
2,Kmeans,0.095894,0
2,Kmeans,0.036382,1
2,Kmeans,0.064421,0
2,Kmeans,0.020204,1
2,Kmeans,0.030517,1
2,Kmeans,0.007876,1
2,Kmeans,0.121876,0
2,Kmeans,0.023196,1
2,Kmeans,0.024574,1
2,Kmeans,0.019028,1
2,Kmeans,0.038773,1
2,Kmeans,0.029579,1
2,Kmeans,0.042709,1
2,Kmeans,0.015907,1
2,Kmeans,0.026757,1
2,Kmeans,0.129316,0
2,Kmeans,0.128044,0
2,Kmeans,0.099072,0
2,Kmeans,0.174206,0
2,Kmeans,0.027501,1
2,Kmeans,0.015017,1
2,Kmeans,0.107875,0
2,Kmeans,0.093285,0
2,Kmeans,0.029798,1
2,Kmeans,0.020763,1
2,Kmeans,0.033306,1
2,Kmeans,0.034666,1
2,Kmeans,0.021092,1
2,Kmeans,0.031432,1
2,Kmeans,-0.00471,1
2,Kmeans,0.022121,1
2,Kmeans,0.045998,1
2,Kmeans,0.026891,1
2,Kmeans,0.033546,1
2,Kmeans,0.072859,0
2,Kmeans,0.097768,0
2,Kmeans,0.097049,0
2,Kmeans,0.098204,0
2,Kmeans,0.10285,0
2,Kmeans,0.115644,0
2,Kmeans,0.178932,0
2,Kmeans,0.053175,1
2,Kmeans,0.135882,0
2,Kmeans,0.122364,0
2,Kmeans,0.022498,1
2,Kmeans,0.053665,1
2,Kmeans,0.097785,0
2,Kmeans,0.012186,1
2,Kmeans,0.100426,0
2,Kmeans,0.059776,1
2,Kmeans,0.049051,1
2,Kmeans,0.023057,1
2,Kmeans,0.071058,0
2,Kmeans,0.006337,1
2,Kmeans,0.026176,1
2,Kmeans,0.138601,0
2,Kmeans,0.064233,1
2,Kmeans,0.024806,1
2,Kmeans,0.015942,1
2,Kmeans,0.025408,1
2,Kmeans,0.01828,1
2,Kmeans,0.077998,0
2,Kmeans,0.058243,0
2,Kmeans,0.047461,1
2,Kmeans,0.10254,0
2,Kmeans,0.030325,1
2,Kmeans,0.066365,0
2,Kmeans,0.021135,1
2,Kmeans,0.08929,0
2,Kmeans,0.098201,0
2,Kmeans,0.118144,0
2,Kmeans,0.034524,1
2,Kmeans,0.060558,0
2,Kmeans,0.036087,1
2,Kmeans,0.053723,1
2,Kmeans,0.030463,1
2,Kmeans,0.07941,0
2,Kmeans,0.109234,0
2,Kmeans,0.105796,0
2,Kmeans,0.004655,1
2,Kmeans,0.095827,0
2,Kmeans,0.031191,1
2,Kmeans,0.018312,1
2,Kmeans,0.011607,1
2,Kmeans,0.030592,1
2,Kmeans,0.043929,1
2,Kmeans,0.11439,0
2,Kmeans,0.098785,0
2,Kmeans,0.018161,1
2,Kmeans,0.104699,0
2,Kmeans,0.044497,1
2,Kmeans,0.09221,0
2,Kmeans,0.099511,0
2,Kmeans,0.102703,0
2,Kmeans,0.019141,1
2,Kmeans,0.052329,0
2,Kmeans,0.004717,1
2,Kmeans,0.186686,0
2,Kmeans,0.115158,0
2,Kmeans,0.105381,0
2,Kmeans,0.107808,0
2,Kmeans,0.034834,1
2,Kmeans,0.034043,1
2,Kmeans,0.00847,1
2,Kmeans,0.084693,0
2,Kmeans,0.025151,1
2,Kmeans,0.037762,1
2,Kmeans,0.020058,1
2,Kmeans,0.004717,1
2,Kmeans,0.179229,0
2,Kmeans,0.021522,1
2,Kmeans,0.002783,1
2,Kmeans,0.05638,1
2,Kmeans,0.130917,0
2,Kmeans,0.124338,0
2,Kmeans,0.115003,0
2,Kmeans,0.101134,0
2,Kmeans,0.070465,1
2,Kmeans,0.034314,1
2,Kmeans,0.037486,1
2,Kmeans,0.11381,0
2,Kmeans,0.175481,0
2,Kmeans,0.020054,1
2,Kmeans,0.031671,1
2,Kmeans,0.037251,1
2,Kmeans,0.028731,1
2,Kmeans,0.038776,1
2,Kmeans,0.032517,1
2,Kmeans,0.044232,1
2,Kmeans,0.039291,1
2,Kmeans,0.122714,0
2,Kmeans,0.050197,1
2,Kmeans,0.02415,1
2,Kmeans,0.023118,1
2,Kmeans,0.09891,0
2,Kmeans,0.091675,0
2,Kmeans,0.10947,0
2,Kmeans,0.105971,0
2,Kmeans,0.015709,1
2,Kmeans,0.015218,1
2,Kmeans,0.018535,1
2,Kmeans,0.197307,0
2,Kmeans,0.029838,1
2,Kmeans,0.10429,0
2,Kmeans,0.113845,0
2,Kmeans,0.046518,1
2,Kmeans,0.011945,1
2,Kmeans,0.099934,0
2,Kmeans,0.058381,1
2,Kmeans,0.119524,0
2,Kmeans,0.122942,0
2,Kmeans,0.01887,1
2,Kmeans,0.034181,1
2,Kmeans,0.090254,0
2,Kmeans,0.006874,1
2,Kmeans,0.05645,1
2,Kmeans,0.10659,0
2,Kmeans,-0.000245,1
2,Kmeans,0.032869,1
2,Kmeans,0.037491,1
2,Kmeans,0.008673,1
2,Kmeans,0.020649,1
2,Kmeans,0.029116,1
2,Kmeans,0.092246,0
2,Kmeans,0.036272,1
2,Kmeans,0.063526,1
2,Kmeans,0.09429,0
2,Kmeans,0.031678,1
2,Kmeans,-0.004263,1
2,Kmeans,0.082899,0
2,Kmeans,0.003758,1
2,Kmeans,0.035934,1
2,Kmeans,-0.005317,1
2,Kmeans,0.085156,0
2,Kmeans,0.04187,1
2,Kmeans,0.044817,1
2,Kmeans,0.01376,1
2,Kmeans,0.03131,1
2,Kmeans,0.069017,1
2,Kmeans,0.060229,1
2,Kmeans,0.111131,0
2,Kmeans,0.029503,1
2,Kmeans,0.021069,1
2,Kmeans,0.019411,1
2,Kmeans,0.019392,1
2,Kmeans,0.131787,0
2,Kmeans,0.113111,0
2,Kmeans,0.049808,1
2,Kmeans,0.015638,1
2,Kmeans,0.060808,1
2,Kmeans,0.02347,1
2,Kmeans,0.034123,1
2,Kmeans,0.023062,1
2,Kmeans,0.006236,1
2,Kmeans,0.014321,1
2,Kmeans,0.096411,0
2,Kmeans,0.029221,1
2,Kmeans,0.01897,1
2,Kmeans,0.050521,1
2,Kmeans,0.021159,1
2,Kmeans,0.103941,0
2,Kmeans,0.022072,1
2,Kmeans,0.019838,1
2,Kmeans,0.052796,1
2,Kmeans,0.04673,1
2,Kmeans,0.090278,0
2,Kmeans,0.11055,0
2,Kmeans,0.004566,1
2,Kmeans,0.024661,1
2,Kmeans,0.084751,0
2,Kmeans,0.027408,1
2,Kmeans,0.03065,1
