k,GMM,Kmeans
2,0.13923572319349012,0.06043592071691091
3,0.14183831155474752,0.06813007461174939
4,0.06223521214063242,0.06398264769047018
5,0.082211185550109,0.06729189445838478
6,0.07304938652655697,0.0644713945667664
7,0.05796938300318033,0.08236013561019229
8,0.05622970917959742,0.08334733131083098
9,0.0666719174220659,0.07576817867879826
10,0.0644641799021423,0.10557952661867999
15,0.1138730860561157,0.1410710970192211
20,0.09741725462469383,0.1301756263991809
25,0.12181491948944569,0.1359774316823796
30,0.10840678834572924,0.12952537289489213
35,0.11738342129082097,0.13308022472509715
40,0.11509655948704692,0.14020022691171982
