k,GMM,Kmeans
2,0.8348035733885867,0.8106978045844886
3,0.6368668120665655,0.6315348694085212
4,0.5140151493376637,0.5634796311904114
5,0.43660012436681145,0.4294291967667073
6,0.3960931349455047,0.38679573310060406
7,0.3857507797274718,0.36313191154625685
8,0.36488356696582663,0.3429353369868115
9,0.3420693090198693,0.3070869131631523
10,0.3047201564962573,0.2969595472350822
15,0.24393348071148147,0.24715611229507625
20,0.22800777967059863,0.2173710889903237
25,0.19303493655097415,0.19472741727417966
30,0.17913435987184695,0.18099104960957024
35,0.17380040335767927,0.17065700422839886
40,0.16636027606180212,0.16266093246558005
