k,type,score,label
2,Kmeans,0.914476,0
2,Kmeans,0.928299,0
2,Kmeans,0.779928,1
2,Kmeans,0.78658,0
2,Kmeans,0.925599,0
2,Kmeans,0.774686,1
2,Kmeans,0.909821,0
2,Kmeans,0.64855,1
2,Kmeans,0.872558,0
2,Kmeans,0.722373,1
2,Kmeans,0.92286,0
2,Kmeans,0.749373,1
2,Kmeans,0.569722,1
2,Kmeans,0.483474,1
2,Kmeans,0.777202,1
2,Kmeans,0.909821,0
2,Kmeans,0.930739,0
2,Kmeans,0.772493,1
2,Kmeans,0.728074,1
2,Kmeans,0.77504,1
2,Kmeans,0.371266,1
2,Kmeans,0.752118,1
2,Kmeans,0.776421,1
2,Kmeans,0.931527,0
2,Kmeans,0.451012,0
2,Kmeans,0.756146,1
2,Kmeans,0.501992,1
2,Kmeans,0.933979,0
2,Kmeans,0.882201,0
2,Kmeans,0.934244,0
2,Kmeans,0.764931,1
2,Kmeans,0.933977,0
2,Kmeans,0.928299,0
2,Kmeans,0.928299,0
2,Kmeans,0.933232,0
2,Kmeans,0.933636,0
2,Kmeans,0.738916,1
2,Kmeans,0.913611,0
2,Kmeans,0.913611,0
2,Kmeans,0.894269,0
2,Kmeans,0.905384,0
2,Kmeans,0.911498,0
2,Kmeans,0.934118,0
2,Kmeans,0.767558,1
2,Kmeans,0.920023,0
2,Kmeans,0.743365,1
2,Kmeans,0.118641,1
2,Kmeans,0.77398,1
2,Kmeans,0.883946,0
2,Kmeans,0.85887,0
2,Kmeans,0.751485,1
2,Kmeans,0.91215,0
2,Kmeans,0.894269,0
2,Kmeans,0.852207,0
2,Kmeans,0.611378,1
2,Kmeans,0.507345,0
2,Kmeans,0.933239,0
2,Kmeans,0.853684,0
2,Kmeans,0.933239,0
2,Kmeans,0.934028,0
2,Kmeans,0.89775,0
2,Kmeans,0.703317,1
2,Kmeans,0.872095,0
2,Kmeans,0.775252,1
2,Kmeans,0.931756,0
2,Kmeans,0.558463,1
2,Kmeans,0.931998,0
2,Kmeans,0.927079,0
2,Kmeans,0.898035,0
2,Kmeans,0.928299,0
2,Kmeans,0.932986,0
2,Kmeans,0.913611,0
2,Kmeans,0.775377,1
2,Kmeans,0.934001,0
2,Kmeans,0.928299,0
2,Kmeans,0.933239,0
2,Kmeans,0.933593,0
2,Kmeans,0.926162,0
2,Kmeans,0.92944,0
2,Kmeans,0.710564,1
2,Kmeans,0.92855,0
2,Kmeans,0.92855,0
2,Kmeans,0.770887,1
2,Kmeans,0.928299,0
2,Kmeans,0.870071,0
2,Kmeans,0.756153,1
2,Kmeans,0.858145,0
2,Kmeans,0.752544,1
2,Kmeans,0.930759,0
2,Kmeans,0.917883,0
