k,GMM,Kmeans
2,0.792758967358753,0.8162288841768864
3,0.7504177675999713,0.765909980453812
4,0.5394698847921994,0.7436895150644358
5,0.5616212740795072,0.6003608771485389
6,0.5659390967652067,0.5950747276954484
7,0.5799646043006604,0.5787755935739761
8,0.5662692751911219,0.5719668677881902
9,0.5891264584017597,0.5473602661000899
10,0.5403713876078261,0.5659054015477526
15,0.5535700918660906,0.5618627244443591
20,0.5596591136503541,0.5859086025267164
25,0.6079531174842463,0.6141971581599488
30,0.630832005423541,0.6290617082231774
35,0.6422577188097249,0.6660831193511069
40,0.6642687058686423,0.6434695436495977
