k,GMM,Kmeans
2,0.5220447284345048,0.5220447284345048
3,0.5277955271565495,0.5220447284345048
4,0.5399361022364217,0.5386581469648563
5,0.531629392971246,0.5591054313099042
6,0.5431309904153354,0.5437699680511182
7,0.5514376996805112,0.5539936102236421
8,0.5686900958466453,0.5623003194888179
9,0.5699680511182109,0.5514376996805112
10,0.5699680511182109,0.5616613418530352
15,0.5642172523961662,0.5712460063897764
20,0.5846645367412141,0.5904153354632588
25,0.5891373801916933,0.5968051118210863
30,0.5936102236421725,0.6044728434504792
35,0.5987220447284345,0.5987220447284345
40,0.5961661341853035,0.6
