k,GMM,Kmeans
2,-0.00045516272258287705,-0.00045059086276054357
3,0.0005069406897144391,-7.850644171827875e-05
4,0.002366065330543009,0.0021921812410332963
5,0.0009987246512388652,0.00398216970620227
6,0.0017616951915953843,0.0019484386715154138
7,0.0021437080649191484,0.0029380070916182233
8,0.004647009426261009,0.003237027787586114
9,0.004099339554526253,0.001691791103550536
10,0.003705327676867072,0.0029763896368249043
15,0.0032458567365475947,0.0032740367190364954
20,0.004173867954368633,0.0049935047240655655
25,0.004533663061046146,0.005097006519056091
30,0.004352340622173598,0.005772214591308965
35,0.004869226246048561,0.004341730814494946
40,0.003508704537507517,0.003744840132201767
