k,type,score,label
2,Kmeans,0.763484,1
2,Kmeans,0.769133,0
2,Kmeans,0.740146,1
2,Kmeans,0.74313,1
2,Kmeans,0.794474,0
2,Kmeans,0.764624,1
2,Kmeans,0.774332,0
2,Kmeans,0.811078,0
2,Kmeans,0.812055,0
2,Kmeans,0.658199,0
2,Kmeans,0.358389,1
2,Kmeans,0.134259,0
2,Kmeans,0.77422,0
2,Kmeans,0.515722,1
2,Kmeans,0.681725,0
2,Kmeans,0.719866,1
2,Kmeans,0.384582,0
2,Kmeans,0.806801,0
2,Kmeans,0.725385,1
2,Kmeans,0.79732,0
2,Kmeans,0.621736,1
2,Kmeans,0.675236,0
2,Kmeans,0.757063,1
2,Kmeans,0.671544,1
2,Kmeans,0.718012,1
2,Kmeans,0.800402,0
2,Kmeans,0.786841,0
2,Kmeans,0.524743,1
2,Kmeans,0.794764,0
2,Kmeans,0.648796,1
2,Kmeans,0.762231,1
2,Kmeans,0.762243,1
2,Kmeans,0.202925,0
2,Kmeans,0.80083,0
2,Kmeans,0.757076,1
2,Kmeans,0.58015,0
2,Kmeans,0.741972,0
2,Kmeans,0.740813,1
2,Kmeans,0.792293,0
2,Kmeans,0.783418,0
2,Kmeans,0.774137,0
2,Kmeans,0.779617,0
2,Kmeans,0.625295,1
2,Kmeans,0.75946,1
2,Kmeans,0.712243,1
2,Kmeans,0.763874,1
2,Kmeans,0.811545,0
2,Kmeans,0.811112,0
2,Kmeans,0.764461,1
2,Kmeans,0.625065,1
2,Kmeans,0.748398,0
2,Kmeans,0.764713,1
2,Kmeans,0.809752,0
2,Kmeans,0.812498,0
2,Kmeans,0.808614,0
2,Kmeans,0.811382,0
2,Kmeans,0.669674,0
2,Kmeans,0.760112,1
2,Kmeans,0.703837,0
2,Kmeans,0.545876,1
2,Kmeans,0.812302,0
2,Kmeans,0.691716,1
2,Kmeans,0.746456,0
2,Kmeans,0.692205,1
2,Kmeans,0.809675,0
2,Kmeans,0.681693,0
2,Kmeans,0.716765,0
2,Kmeans,0.719911,1
2,Kmeans,0.399738,1
2,Kmeans,0.803422,0
2,Kmeans,0.181806,0
2,Kmeans,0.751527,1
2,Kmeans,0.626081,1
2,Kmeans,0.776905,0
2,Kmeans,0.74241,0
2,Kmeans,0.811989,0
2,Kmeans,0.780522,0
2,Kmeans,0.689914,1
2,Kmeans,0.810861,0
2,Kmeans,0.804067,0
2,Kmeans,0.807852,0
2,Kmeans,0.74027,1
2,Kmeans,0.767789,0
2,Kmeans,0.747467,1
2,Kmeans,0.767045,0
2,Kmeans,0.206733,0
2,Kmeans,0.742232,0
2,Kmeans,0.810721,0
2,Kmeans,0.627872,0
2,Kmeans,0.626991,1
2,Kmeans,0.578035,1
2,Kmeans,0.792155,0
2,Kmeans,0.741398,1
2,Kmeans,0.115907,1
2,Kmeans,0.428082,1
2,Kmeans,0.702268,1
2,Kmeans,0.763161,0
2,Kmeans,0.808233,0
2,Kmeans,0.771056,0
2,Kmeans,0.388441,1
2,Kmeans,0.811483,0
2,Kmeans,0.791938,0
2,Kmeans,0.794659,0
2,Kmeans,0.470794,1
2,Kmeans,0.812214,0
2,Kmeans,0.584364,0
2,Kmeans,0.787776,0
2,Kmeans,0.764193,1
2,Kmeans,0.743856,0
2,Kmeans,0.741878,1
2,Kmeans,0.723338,1
2,Kmeans,0.809495,0
2,Kmeans,0.76464,1
2,Kmeans,0.807545,0
2,Kmeans,0.737013,1
2,Kmeans,0.722555,1
2,Kmeans,0.726901,1
2,Kmeans,0.762945,1
2,Kmeans,0.460591,0
2,Kmeans,0.810016,0
2,Kmeans,0.749877,1
2,Kmeans,0.73543,0
2,Kmeans,0.764673,1
2,Kmeans,0.699269,0
2,Kmeans,0.776524,0
2,Kmeans,0.710684,1
2,Kmeans,0.741631,1
2,Kmeans,0.775993,0
2,Kmeans,0.746236,0
2,Kmeans,0.810576,0
2,Kmeans,0.764087,0
2,Kmeans,0.812513,0
2,Kmeans,0.645095,1
2,Kmeans,0.398796,0
2,Kmeans,0.772756,0
2,Kmeans,0.810185,0
2,Kmeans,0.790912,0
2,Kmeans,0.726928,0
2,Kmeans,0.794797,0
2,Kmeans,0.542311,1
2,Kmeans,0.811615,0
2,Kmeans,0.722322,1
2,Kmeans,0.805824,0
2,Kmeans,0.742738,1
2,Kmeans,0.801722,0
2,Kmeans,0.786359,0
2,Kmeans,0.450817,0
2,Kmeans,0.707542,0
2,Kmeans,0.753489,1
2,Kmeans,0.803365,0
2,Kmeans,0.754543,0
2,Kmeans,0.792889,0
2,Kmeans,0.76463,1
2,Kmeans,0.542741,0
