k,GMM,Kmeans
2,0.6747655400811687,0.6785172480372829
3,0.5886749742091468,0.5948527259212757
4,0.5565910508780346,0.5569952142030187
5,0.5460308191287165,0.5408090118350924
6,0.5494466568831629,0.5506401101187054
7,0.5485885553150656,0.549318779067237
8,0.5397696006093046,0.5390952111299642
9,0.5389670450625151,0.5266240951253709
10,0.5307755755016392,0.5320910795579972
15,0.5210045124600297,0.5429685902874279
20,0.5368176557403179,0.5406534303068624
25,0.5494246584271294,0.54339147918952
30,0.5522472014464989,0.5642126847604759
35,0.5297021992555241,0.5593481005047741
40,0.5213005044600549,0.5509904569068983
