k,GMM,Kmeans
2,0.9122807017543859,0.9415204678362573
3,0.9093567251461988,0.9619883040935673
4,0.9093567251461988,0.9649122807017544
5,0.9035087719298246,0.9590643274853801
6,0.9035087719298246,0.9590643274853801
7,0.9064327485380117,0.9649122807017544
8,0.9210526315789473,0.9502923976608187
9,0.935672514619883,0.9502923976608187
10,0.9122807017543859,0.956140350877193
15,0.9707602339181286,0.9678362573099415
20,0.9649122807017544,0.9736842105263158
25,0.9649122807017544,0.9678362573099415
30,0.9707602339181286,0.9736842105263158
35,0.9707602339181286,0.9736842105263158
40,0.9736842105263158,0.9766081871345029
