k,GMM,Kmeans
2,0.6221545780764918,0.65357733789914
3,0.4818218706252211,0.5539428366934938
4,0.4019623928376208,0.4994221804756365
5,0.37648661587699594,0.45968905613863603
6,0.35722257642510874,0.4217642460853679
7,0.33646846182825507,0.4161277203722691
8,0.29115109230575353,0.2926906827540737
9,0.2707955840423168,0.27948676843015646
10,0.25277723955134535,0.27412266832880156
15,0.29003225009920997,0.26709699983856156
20,0.26747026075478153,0.25996267905761455
25,0.25078227181209256,0.20093482040592905
30,0.22419417184658297,0.20123779219649923
35,0.2173230862079311,0.1843187927775603
40,0.2019245065273434,0.1858772867233472
