k,type,score,label
2,Kmeans,0.803286,1
2,Kmeans,0.814313,1
2,Kmeans,0.144113,0
2,Kmeans,0.394623,0
2,Kmeans,0.233648,0
2,Kmeans,0.812011,1
2,Kmeans,0.158108,0
2,Kmeans,0.388489,0
2,Kmeans,0.821161,1
2,Kmeans,0.818939,1
2,Kmeans,0.822101,1
2,Kmeans,0.838549,1
2,Kmeans,0.43265,0
2,Kmeans,0.264211,0
2,Kmeans,0.15875,0
2,Kmeans,0.821673,1
2,Kmeans,0.764855,1
2,Kmeans,0.354737,0
2,Kmeans,0.81133,1
2,Kmeans,0.133036,0
2,Kmeans,0.789717,1
2,Kmeans,0.686403,1
2,Kmeans,0.343045,0
2,Kmeans,0.796408,1
2,Kmeans,0.375175,0
2,Kmeans,0.816504,1
2,Kmeans,0.453652,1
2,Kmeans,0.781633,1
2,Kmeans,0.803286,1
2,Kmeans,0.781633,1
2,Kmeans,0.831359,1
2,Kmeans,0.845348,1
2,Kmeans,0.445004,1
2,Kmeans,0.797262,1
2,Kmeans,0.022042,0
2,Kmeans,0.702782,1
2,Kmeans,0.787159,1
2,Kmeans,-0.115871,0
2,Kmeans,0.812011,1
2,Kmeans,0.790364,1
2,Kmeans,0.723278,1
2,Kmeans,-0.054184,0
2,Kmeans,0.828212,1
2,Kmeans,0.821732,1
2,Kmeans,0.212075,1
2,Kmeans,-0.097738,0
2,Kmeans,0.385962,0
2,Kmeans,0.59782,1
2,Kmeans,0.812011,1
2,Kmeans,0.05887,0
2,Kmeans,0.815415,1
2,Kmeans,0.79499,1
2,Kmeans,0.816504,1
2,Kmeans,-0.144031,0
2,Kmeans,0.20808,0
2,Kmeans,0.53952,1
2,Kmeans,0.812011,1
2,Kmeans,0.69613,1
2,Kmeans,0.333025,0
2,Kmeans,0.205979,0
2,Kmeans,0.845348,1
2,Kmeans,0.812011,1
2,Kmeans,0.68454,1
2,Kmeans,0.79529,1
2,Kmeans,0.83259,1
2,Kmeans,0.427892,0
2,Kmeans,0.718715,1
2,Kmeans,0.745891,1
2,Kmeans,0.382864,0
2,Kmeans,0.75052,1
2,Kmeans,0.126081,0
2,Kmeans,0.83259,1
2,Kmeans,0.341467,0
2,Kmeans,-0.061629,0
2,Kmeans,0.117789,0
2,Kmeans,0.785687,1
2,Kmeans,0.371865,0
2,Kmeans,0.781656,1
2,Kmeans,0.829935,1
2,Kmeans,0.13632,0
2,Kmeans,0.169131,0
2,Kmeans,0.70645,1
2,Kmeans,0.326654,0
2,Kmeans,0.823253,1
2,Kmeans,0.845348,1
2,Kmeans,0.47864,0
2,Kmeans,0.800322,1
2,Kmeans,0.762201,1
2,Kmeans,0.786389,1
2,Kmeans,0.753898,1
2,Kmeans,0.653471,1
2,Kmeans,0.289177,0
2,Kmeans,0.845348,1
2,Kmeans,0.821161,1
2,Kmeans,0.499664,1
2,Kmeans,0.838549,1
2,Kmeans,0.012797,0
2,Kmeans,0.845348,1
2,Kmeans,0.798312,1
2,Kmeans,0.82495,1
2,Kmeans,0.802542,1
2,Kmeans,0.447895,0
2,Kmeans,0.797214,1
2,Kmeans,0.426869,0
2,Kmeans,0.301992,0
2,Kmeans,0.785687,1
2,Kmeans,0.752994,1
