k,GMM,Kmeans
2,0.4773920210169022,0.5971050881582097
3,0.42862359354377705,0.5398794731636013
4,0.39913528148685135,0.5294811572857057
5,0.41232440086214195,0.5309964204545565
6,0.3867877304256731,0.5199853089160515
7,0.38232914787256905,0.4446969758409312
8,0.18059768452203154,0.24568293535566335
9,0.10445961017261671,0.24131717057679938
10,0.08801712603538697,0.23824543633822665
15,0.16170261791655982,0.23147788587727045
20,0.18999575393150003,0.23878385581947426
25,0.16615605806806769,0.17668552578946659
30,0.07930310583210817,0.1821539163401871
35,0.08031210987991076,0.1712783339844091
40,0.12029396385028773,0.17802407078176885
