k,GMM,Kmeans
2,0.5220447284345048,0.5220447284345048
3,0.5220447284345048,0.552076677316294
4,0.6140575079872205,0.5827476038338658
5,0.6447284345047923,0.6268370607028754
6,0.6492012779552716,0.6274760383386582
7,0.6376996805111821,0.6185303514376996
8,0.6313099041533546,0.5750798722044729
9,0.6351437699680511,0.6
10,0.6185303514376996,0.582108626198083
15,0.6530351437699681,0.6357827476038339
20,0.645367412140575,0.6619808306709265
25,0.6670926517571885,0.6837060702875399
30,0.681150159744409,0.6894568690095847
35,0.7226837060702875,0.7003194888178914
40,0.731629392971246,0.7207667731629392
