k,GMM,Kmeans
2,0.0014756720341564408,0.0001646830341149884
3,-0.00015014255148764418,0.003705646417463581
4,0.02508125688487603,0.013592796520244397
5,0.03203551417949005,0.022815588062879387
6,0.03432636634483825,0.02279073925864905
7,0.028676809269887176,0.019758042304381895
8,0.023904751739002188,0.013969260002467255
9,0.025091888302593318,0.01630815916990341
10,0.01844215289525297,0.014586694052888712
15,0.02507203097075091,0.022472588524360643
20,0.02189556284232071,0.027797490402447722
25,0.023995786042686058,0.036947850517162734
30,0.027466318138156223,0.0336385486885202
35,0.04565722992462075,0.033520878537347816
40,0.04390462646647499,0.039084291112048246
