k,type,score,label
2,Kmeans,0.141381,1
2,Kmeans,0.226082,1
2,Kmeans,0.150655,1
2,Kmeans,0.075951,1
2,Kmeans,0.154942,1
2,Kmeans,0.071348,0
2,Kmeans,0.076694,0
2,Kmeans,0.07747,0
2,Kmeans,0.155557,1
2,Kmeans,0.065937,0
2,Kmeans,0.008309,0
2,Kmeans,0.156597,1
2,Kmeans,0.07687,0
2,Kmeans,0.041133,1
2,Kmeans,0.123899,1
2,Kmeans,0.047729,0
2,Kmeans,0.027594,1
2,Kmeans,0.062703,0
2,Kmeans,0.1137,1
2,Kmeans,-0.007863,0
2,Kmeans,0.10511,0
2,Kmeans,0.061739,0
2,Kmeans,0.111964,1
2,Kmeans,0.113916,1
2,Kmeans,0.051846,0
2,Kmeans,0.066145,0
2,Kmeans,0.082445,1
2,Kmeans,-0.040463,0
2,Kmeans,0.041401,0
2,Kmeans,-0.009001,0
2,Kmeans,0.232605,1
2,Kmeans,0.203539,1
2,Kmeans,0.163346,1
2,Kmeans,0.148907,1
2,Kmeans,0.047084,1
2,Kmeans,0.023433,0
2,Kmeans,0.068963,1
2,Kmeans,0.162798,1
2,Kmeans,0.199688,1
2,Kmeans,-0.001446,0
2,Kmeans,0.222438,1
2,Kmeans,0.065815,1
2,Kmeans,0.144158,1
2,Kmeans,0.162818,1
2,Kmeans,0.18052,1
2,Kmeans,0.063169,1
2,Kmeans,0.153063,1
2,Kmeans,0.233116,1
2,Kmeans,0.193551,1
2,Kmeans,0.158293,1
2,Kmeans,0.057461,1
2,Kmeans,0.063871,0
2,Kmeans,0.023119,0
2,Kmeans,0.146575,1
2,Kmeans,0.14123,0
2,Kmeans,0.080821,1
2,Kmeans,0.228143,1
2,Kmeans,0.100544,1
2,Kmeans,0.084304,0
2,Kmeans,0.187972,1
2,Kmeans,0.070744,0
2,Kmeans,0.150117,1
2,Kmeans,0.028758,0
2,Kmeans,0.07451,1
2,Kmeans,0.12101,0
2,Kmeans,0.16482,1
2,Kmeans,0.170652,1
