k,GMM,Kmeans
2,0.5077217248350756,0.09744654092777591
3,0.11317606186213185,0.07040340865123336
4,0.07799227007239819,0.07893105690045257
5,0.07586143055115863,0.07675133103326671
6,0.08632757305567756,0.0802807783608992
7,0.09180768215205068,0.08947710181716748
8,0.08886596053431342,0.07890210977900705
9,0.09427940546242909,0.09462913440303511
10,0.10635514692370164,0.11403287680770406
15,0.11818273516720779,0.1314362583489147
20,0.12312601972735733,0.14231896927944854
25,0.11543729008170282,0.1387179478705022
30,0.10801013557861196,0.1465263420068637
35,0.12013274525366464,0.1402720402706576
40,0.12586310990270433,0.1489199734869841
