steps,time,reward,delta,converged
1,0.008430999999999855,1.1194551871559837,0.10622485871518939,False
2,0.01346299999999978,1.5416254545926664,5.2694626634114e-06,False
3,0.012602999999998588,1.541635584624082,5.2695084786257614e-06,False
4,0.012095000000000411,1.54163575210797,5.269508478752179e-06,False
5,0.012452999999998937,1.541635584624082,5.2695084786257614e-06,False
6,0.01240800000000064,1.54163575210797,5.269508478752179e-06,False
7,0.012006000000001293,1.541635584624082,5.2695084786257614e-06,False
8,0.012109999999999843,1.54163575210797,5.269508478752179e-06,False
9,0.012580999999999065,1.541635584624082,5.2695084786257614e-06,False
10,0.01267700000000005,1.54163575210797,5.269508478752179e-06,False
11,0.012911000000000783,1.541635584624082,5.2695084786257614e-06,False
12,0.012160999999998978,1.54163575210797,5.269508478752179e-06,True
