episode,length,time,reward,delta
0,500.0,0.06305599999996048,-2580.0,-1.0000000050247593e-08
1,500.0,0.05400199999985489,-1293.0,-1.0000000050247593e-08
2,500.0,0.04348299999992378,-699.0,0.0
3,200.0,0.01626699999997072,-100.0,100.0
4,500.0,0.039031000000022686,-600.0,0.0
5,500.0,0.03858300000001691,-798.0,0.0
6,500.0,0.03756700000008095,-600.0,0.0
7,500.0,0.03910900000005313,-897.0,0.0
8,500.0,0.03735800000004019,-600.0,0.0
9,500.0,0.0361960000000181,-501.0,0.0
10,500.0,0.03451400000017202,-600.0,0.0
11,500.0,0.03638900000009926,-897.0,0.0
12,500.0,0.03739500000006046,-600.0,0.0
13,500.0,0.03467200000000048,-699.0,0.0
14,500.0,0.03587599999991653,-600.0,0.0
15,500.0,0.03696300000001429,-501.0,0.0
16,500.0,0.03728500000011081,-699.0,0.0
17,500.0,0.03695100000004459,-600.0,0.0
18,500.0,0.03400399999986803,-600.0,0.0
19,500.0,0.03436299999998482,-600.0,0.0
20,500.0,0.034579000000121596,-501.0,0.0
21,500.0,0.03462899999999536,-600.0,0.0
22,500.0,0.03402400000004491,-501.0,0.0
23,500.0,0.03572099999996681,-501.0,0.0
24,500.0,0.033918999999968946,-501.0,0.0
25,500.0,0.03505300000006173,-501.0,0.0
26,500.0,0.03418200000010074,-501.0,0.0
27,500.0,0.04215399999998226,-501.0,0.0
28,500.0,0.08175699999992503,-600.0,0.0
29,500.0,0.10831599999983155,-501.0,0.0
30,500.0,0.10121500000013839,-501.0,0.0
31,500.0,0.08367500000008476,-501.0,0.0
32,500.0,0.08570000000008804,-600.0,0.0
33,500.0,0.09051399999998466,-501.0,0.0
34,500.0,0.04657899999983783,-501.0,0.0
35,500.0,0.03478999999992993,-600.0,0.0
36,500.0,0.03681200000005447,-501.0,0.0
37,500.0,0.03654600000004393,-501.0,0.0
38,500.0,0.035215999999991254,-501.0,0.0
39,500.0,0.03520299999991039,-699.0,0.0
40,500.0,0.03672699999992801,-600.0,0.0
41,500.0,0.0354770000001281,-501.0,0.0
42,500.0,0.0369540000001507,-501.0,0.0
43,500.0,0.03646600000001854,-501.0,0.0
44,500.0,0.036309999999957654,-501.0,0.0
45,500.0,0.035389000000122905,-501.0,0.0
46,500.0,0.03619000000003325,-501.0,0.0
47,500.0,0.03587000000015905,-501.0,0.0
48,500.0,0.03493500000013228,-501.0,0.0
49,500.0,0.03589600000009341,-501.0,0.0
50,500.0,0.03460799999993469,-501.0,0.0
