steps,time,reward,delta,converged
1,0.004363000000012107,0.0,0,False
2,0.0003900000000385262,0.0,0,False
3,0.0016880000000583095,0.0,0,False
4,0.005947999999989406,0.0,0,False
5,0.0006879999999682695,0.0,0,False
6,0.0037660000000414584,0.0,0,False
7,0.0014370000000099026,0.0,0,False
8,0.001375999999936539,0.0,0,False
9,0.006048999999961779,0.0,0,False
10,0.001902999999970234,0.0,0,False
11,0.0008149999999886859,0.0,0,False
12,0.003869000000008782,0.0,0,False
13,0.0022240000000692817,0.0,0,False
14,0.00601100000005772,0.0,0,False
15,0.004097000000001572,0.0,0,False
16,0.002874000000019805,0.0,0,False
17,0.002024000000005799,0.0,0,False
18,0.0012269999999716674,0.0,0,False
19,0.0034700000001066655,0.0,0,False
20,0.0008830000000443761,0.0,0,False
21,0.005368999999973312,0.0,0,False
22,0.004845999999929518,0.0,0,False
23,0.005460999999968408,0.0,0,False
24,0.003409000000033302,0.0,0,False
25,0.0015369999999848005,0.0,0,False
26,0.0023700000000417276,0.0,0,False
27,0.0004089999999905558,0.0,0,False
28,0.0026500000000169166,0.0,0,False
29,0.0021010000000387663,0.0,0,False
30,0.001626999999984946,0.0,0,False
31,0.0036319999999250285,0.0,0,False
32,0.0012520000000222353,0.0,0,False
33,0.002266999999960717,0.0,0,False
34,0.0008090000000038344,0.0,0,False
35,0.0008050000000139335,0.0,0,False
36,0.0011909999999488718,0.0,0,False
37,0.0019879999999830034,0.0,0,False
38,0.0030259999999771026,0.0,0,False
39,0.0021389999999428255,0.0,0,False
40,0.001634999999964748,0.0,0,False
41,0.0007389999999531938,0.0,0,False
42,0.0033990000000585496,0.0,0,False
43,0.00118299999996907,0.0,0,False
44,0.0009459999999990032,0.0,0,False
45,0.0024529999999458596,0.0,0,False
46,0.001163000000019565,0.0,0,False
47,0.0011379999999689971,0.0,0,False
48,0.0032690000000457076,0.0,0,False
49,0.000601999999958025,0.0,0,False
50,0.000803000000018983,0.0,0,False
51,0.0016369999999596985,0.0,0,False
52,0.00241300000004685,0.0,0,False
53,0.0020440000000689906,0.0,0,False
54,0.0013020000000096843,0.0,0,False
55,0.002559000000019296,0.0,0,False
56,0.001573000000007596,0.0,0,False
57,0.0034440000000586224,0.0,0,False
58,0.00107500000001437,0.0,0,False
59,0.001698000000033062,0.0,0,False
60,0.0016270000000986329,0.0,0,False
61,0.0037899999999808642,0.0,0,False
62,0.0042220000000270375,0.0,0,False
63,0.00417800000002444,0.0,0,False
64,0.0027380000000221116,0.0,0,False
65,0.0016140000000177679,0.0,0,False
66,0.000941000000011627,0.0,0,False
67,0.0008670000000847722,0.0,0,False
68,0.0012170000001106018,0.0,0,False
69,0.0017299999999522697,0.0,0,False
70,0.005372000000079424,0.0,0,False
71,0.006573000000003049,0.0,0,False
