steps,time,reward,delta,converged
1,0.006537999999977728,0.6666666666666666,0.3333333333333333,False
2,0.005731999999994741,1.2059259259259258,0.17777777777777776,False
3,0.009143000000022994,1.6403884773662551,0.0916543209876543,False
4,0.007350999999999885,1.9569154458161866,0.0522534979423868,False
5,0.010476000000011254,2.190494233570086,0.032760508459076354,False
6,0.011750000000006366,2.3634956202460016,0.02107566906670731,False
7,0.007767999999998665,2.49138488321797,0.013760881450889939,False
8,0.006188999999977796,2.5858269283149062,0.009075418147313136,False
9,0.008026000000000977,2.6556364475709957,0.006298558864056163,False
10,0.007428999999973485,2.707335518096137,0.004177202619009723,False
11,0.006324000000006436,2.745641478056146,0.002907435007501215,False
12,0.006025999999991427,2.773985464341814,0.002012041778562061,False
13,0.005763000000001739,2.7949065770728536,0.0013539472431053322,False
14,0.006592000000011922,2.810303588564391,0.0009664821583511805,False
15,0.005684999999999718,2.8216001248052653,0.0006703346534782002,False
16,0.007680999999990945,2.829862634697923,0.000464275927866532,False
17,0.006228000000021439,2.8358882049016616,0.0003300340003153466,False
18,0.0056869999999946685,2.8402707324636616,0.0002296288560077065,False
19,0.0063980000000185555,2.8434509806058053,0.0001618819815847822,False
20,0.0059180000000083055,2.8457545452161233,0.00011491539178768578,False
21,0.006209999999981619,2.847420773818521,8.020012452900592e-05,False
22,0.006178000000005568,2.848624800441141,5.719921280711261e-05,False
23,0.005776999999994814,2.8494942791956226,4.059491202553379e-05,False
24,0.008127000000001772,2.8501219378462874,2.8408806316779136e-05,False
25,0.0070240000000012515,2.8505749656964467,2.042442873420331e-05,False
26,0.005749000000008664,2.850901953637252,1.4499508554877963e-05,False
27,0.006369000000006508,2.8511379962069063,1.0230833673311444e-05,False
28,0.006024999999993952,2.8513084186468336,7.354703340858859e-06,True
