step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0018796992481203006,2.8918449971081547e-05,0.0,0.00023134759976865238,0.0018796992481203006,0.0
65,0.0,2.8480291638186374e-05,0.0,0.00022961545193377048,0.0018796992481203006,0.0
66,0.0,2.805521265851195e-05,0.0,0.00022792162508798,0.0018796992481203006,0.0
67,0.0,2.7642636001769127e-05,0.0,0.00022626472721894213,0.0018796992481203006,0.0
68,0.0,2.724201808870001e-05,0.0,0.00022464343606939417,0.0018796992481203006,0.0
69,0.0,2.685284640171858e-05,0.0,0.00022305649470778934,0.0018796992481203006,0.0
70,0.0,2.6474637297469023e-05,0.0,0.0002215027074378046,0.0018796992481203006,0.0
71,0.0,2.6106934001670842e-05,0.0,0.00021998093601650892,0.0018796992481203006,0.0
72,0.0,2.5749304768771242e-05,0.0,0.000218490096154047,0.0018796992481203006,0.0
73,0.0,2.5401341190814875e-05,0.0,0.00021702915427041075,0.0018796992481203006,0.0
74,0.0,2.5062656641604008e-05,0.0,0.00021559712448728386,0.0018796992481203006,0.0
75,0.0,2.4732884843688168e-05,0.0,0.0002141930658350907,0.0018796992481203006,0.0
76,0.0,2.441167854701689e-05,0.0,0.00021281607965729286,0.0018796992481203006,0.0
77,0.0,2.4098708309234624e-05,0.0,0.00021146530719568443,0.0018796992481203006,0.0
78,0.0,2.37936613686114e-05,0.0,0.0002101399273419589,0.0018796992481203006,0.0
79,0.0,2.3496240601503757e-05,0.0,0.00020883915454218956,0.0018796992481203006,0.0
80,0.0,2.320616355704075e-05,0.0,0.00020756223684208571,0.0018796992481203006,0.0
81,0.0,2.2923161562442692e-05,0.0,0.00020630845406198424,0.0018796992481203006,0.0
