episode,length,time,reward,delta
0,500.0,0.061357999999927415,-1887.0,-0.5249234207007853
1,68.0,0.006601999999929831,32.0,99.99952547757982
2,42.0,0.0030270000002019515,58.0,49.999762738789904
3,73.0,0.010696999999709078,27.0,24.999881369394956
4,103.0,0.011365000000296277,-102.0,12.499940684697478
5,48.0,0.0055059999999684806,52.0,6.249970342348732
6,75.0,0.005717000000004191,25.0,3.124985171174373
7,53.0,0.007875000000240107,47.0,1.5624925855871794
8,41.0,0.0029829999998582934,59.0,0.7812462927935968
9,28.0,0.002089999999952852,72.0,0.3906231463968055
10,33.0,0.002395999999862397,67.0,0.19531157319839565
11,74.0,0.006237999999939348,26.0,0.09765578659919072
12,26.0,0.002023999999892112,-25.0,0.048827893299588254
13,33.0,0.0024189999999180145,67.0,0.024413946649801233
14,35.0,0.0025489999998171697,65.0,0.01220697332489351
15,24.0,0.0018020000002252345,76.0,0.00610348666243965
16,37.0,0.0026920000000245636,63.0,0.0030517433312269304
17,38.0,0.00275999999985288,62.0,0.0015258716656063598
18,24.0,0.0017679999996289553,76.0,0.0007629358328102853
19,23.0,0.0017940000002454326,77.0,0.00038146791639803723
20,35.0,0.0025809999997363775,65.0,0.00019073395820612404
21,20.0,0.0015870000001996232,80.0,9.53669790959566e-05
22,25.0,0.0018619999996190018,75.0,4.768348954087287e-05
23,21.0,0.0016320000004270696,79.0,2.3841744777541862e-05
24,24.0,0.0018830000003617897,-23.0,1.1920872381665504e-05
25,27.0,0.0019660000002659217,-26.0,5.9604361837273245e-06
26,18.0,0.0015530000000580912,82.0,2.9802180989690896e-06
27,14.0,0.001138000000082684,86.0,1.4901090565899722e-06
28,21.0,0.002019999999902211,79.0,7.450545211895587e-07
29,14.0,0.0011990000002697343,86.0,3.72527253489352e-07
30,20.0,0.001510000000052969,80.0,1.8626361963924865e-07
31,14.0,0.0010680000000320433,86.0,9.313181692505168e-08
32,14.0,0.0012520000000222353,86.0,4.65659155679532e-08
33,15.0,0.0014830000000074506,85.0,2.3282964889403956e-08
34,14.0,0.0010990000000674627,86.0,1.1641489550129336e-08
35,14.0,0.0010789999996632105,86.0,5.8207518804920255e-09
36,16.0,0.0012069999997947889,84.0,2.910368834818655e-09
37,14.0,0.001081000000340282,86.0,1.45517731198197e-09
38,18.0,0.0013880000001336157,82.0,7.275815505636274e-10
39,14.0,0.0010659999998097192,86.0,3.637836698544561e-10
40,14.0,0.0010609999999360298,86.0,1.8188472949987045e-10
41,14.0,0.0010790000001179578,86.0,9.093525932257762e-11
42,15.0,0.001247000000148546,85.0,4.546052423393121e-11
43,14.0,0.0011759999997593695,86.0,2.2723156689608004e-11
44,16.0,0.001220999999986816,84.0,1.1354472917446401e-11
45,14.0,0.0010669999996935076,86.0,5.6701310313655995e-12
46,16.0,0.001205000000027212,84.0,2.8279600883251987e-12
47,16.0,0.001558999999815569,84.0,1.4068746168049984e-12
48,14.0,0.0011429999999563734,86.0,6.963318810448982e-13
49,14.0,0.0010729999999057327,86.0,3.552713678800501e-13
50,16.0,0.001393000000007305,84.0,1.8474111129762605e-13
51,16.0,0.0013470000003508176,84.0,9.947598300641403e-14
52,14.0,0.0013630000003104215,86.0,4.263256414560601e-14
53,15.0,0.0012750000000778527,85.0,1.4210854715202004e-14
54,14.0,0.0012549999996736005,86.0,1.4210854715202004e-14
55,14.0,0.0010790000001179578,86.0,1.4210854715202004e-14
56,14.0,0.00112200000012308,86.0,1.4210854715202004e-14
57,16.0,0.0012099999999009015,84.0,1.4210854715202004e-14
58,16.0,0.0012149999997745908,84.0,1.4210854715202004e-14
59,14.0,0.0011839999997391715,86.0,1.4210854715202004e-14
60,16.0,0.0012200000001030276,84.0,1.4210854715202004e-14
61,15.0,0.001310000000103173,85.0,1.4210854715202004e-14
62,18.0,0.0014700000001539593,82.0,1.4210854715202004e-14
63,16.0,0.0013859999999112915,84.0,1.4210854715202004e-14
64,14.0,0.001209000000017113,86.0,1.4210854715202004e-14
65,14.0,0.0011589999999159772,86.0,1.4210854715202004e-14
