step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.002793296089385475,0.0004655493482309125,0.0,0.001040999989525042,0.002793296089385475,0.0
6,0.0,0.0003990422984836393,0.0,0.0009774500170722977,0.002793296089385475,0.0
7,0.0058823529411764705,0.0010844561288202432,0.0,0.0020308932272788665,0.0058823529411764705,0.0
8,0.006944444444444444,0.0017355659416673766,0.0,0.002656651726612886,0.006944444444444444,0.0
9,0.00641025641025641,0.00220303498852628,0.0,0.0028842268192367,0.006944444444444444,0.0
10,0.002840909090909091,0.0022610235432883536,0.0,0.002756109534391744,0.006944444444444444,0.0
11,0.0,0.0020726049146809907,0.0,0.0027117605893780014,0.006944444444444444,0.0
12,0.0,0.0019131737673978378,0.0,0.0026632686580185666,0.006944444444444444,0.0
13,0.0,0.0017765184982979922,0.0,0.0026132599765486255,0.006944444444444444,0.0
14,0.0,0.0016580839317447927,0.0,0.0025632453991884093,0.006944444444444444,0.0
15,0.0,0.0015544536860107431,0.0,0.0025140955049272207,0.006944444444444444,0.0
16,0.00510204081632653,0.0017631352819116718,0.0,0.002577913858250897,0.006944444444444444,0.0
17,0.0,0.0016651833218054677,0.0,0.002537625980398483,0.006944444444444444,0.0
18,0.0,0.0015775420943420222,0.0,0.002497774987548391,0.006944444444444444,0.0
19,0.0,0.0014986649896249209,0.0,0.002458687912144147,0.006944444444444444,0.0
20,0.0,0.0014272999901189724,0.0,0.0024205663397855407,0.006944444444444444,0.0
21,0.0,0.0013624227178408372,0.0,0.0023835282808462965,0.006944444444444444,0.0
22,0.0,0.0013031869474999312,0.0,0.002347635692665188,0.006944444444444444,0.0
23,0.0,0.001248887491354101,0.0,0.002312912853448785,0.006944444444444444,0.0
24,0.0,0.0011989319916999369,0.0,0.0022793587869485116,0.006944444444444444,0.0
25,0.0,0.0011528192227884008,0.0,0.0022469557511461897,0.006944444444444444,0.0
26,0.0,0.0011101222145369785,0.0,0.002215675083700936,0.006944444444444444,0.0
27,0.0,0.0010704749925892294,0.0,0.002185481249190526,0.006944444444444444,0.0
28,0.006211180124223602,0.001247740686783518,0.0,0.0023433896074907903,0.006944444444444444,0.0
29,0.0,0.0012061493305574008,0.0,0.0023148630795826962,0.006944444444444444,0.0
30,0.0,0.0011672412876361942,0.0,0.002287170386011825,0.006944444444444444,0.0
31,0.0,0.0011307649973975632,0.0,0.002260292259903228,0.006944444444444444,0.0
32,0.0,0.001096499391415819,0.0,0.002234206240562724,0.006944444444444444,0.0
33,0.0,0.0010642494093153537,0.0,0.002208887843442139,0.006944444444444444,0.0
34,0.004975124378109453,0.0011759886941380422,0.0,0.0022725080657805376,0.006944444444444444,0.0
35,0.007633587786259542,0.0013553664466969726,0.0,0.0024793171564342575,0.007633587786259542,0.0
36,0.0,0.001318734921110568,0.0,0.002455439946834947,0.007633587786259542,0.0
37,0.0,0.0012840313705550267,0.0,0.0024320943666287977,0.007633587786259542,0.0
38,0.0,0.001251107489258744,0.0,0.0024092748966382076,0.007633587786259542,0.0
39,0.0,0.0012198298020272755,0.0,0.002386973783769986,0.007633587786259542,0.0
40,0.0,0.0011900778556363663,0.0,0.002365181611194547,0.007633587786259542,0.0
41,0.0,0.0011617426685974052,0.0,0.0023438877473684807,0.007633587786259542,0.0
42,0.0,0.001134725397234675,0.0,0.002323080699907718,0.007633587786259542,0.0
43,0.0033333333333333335,0.0011846937594187353,0.0,0.002319787830057392,0.007633587786259542,0.0
44,0.0,0.0011583672314316523,0.0,0.0023005052382051357,0.007633587786259542,0.0
45,0.0,0.0011331853350961816,0.0,0.002281624328691463,0.007633587786259542,0.0
46,0.004672897196261682,0.0012084983534188518,0.0,0.0023142951421340624,0.007633587786259542,0.0
47,0.0,0.0011833213043892924,0.0,0.0022965565531105027,0.007633587786259542,0.0
48,0.0,0.0011591718900140007,0.0,0.0022791509736391448,0.007633587786259542,0.0
49,0.0038314176245210726,0.001212616804704142,0.0,0.002287050538102087,0.007633587786259542,0.0
50,0.007352941176470588,0.0013330153217976017,0.0,0.002419262185506588,0.007633587786259542,0.0
51,0.0,0.0013073804117630324,0.0,0.002402871134199612,0.007633587786259542,0.0
52,0.0,0.0012827128568241072,0.0,0.0023867324209824923,0.007633587786259542,0.0
53,0.0,0.0012589589150310682,0.0,0.0023708450603227953,0.007633587786259542,0.0
54,0.0,0.0012360687529395942,0.0,0.0023552073831837658,0.007633587786259542,0.0
55,0.0,0.0012139960966371015,0.0,0.0023398171579223056,0.007633587786259542,0.0
56,0.0,0.0011926979195031173,0.0,0.0023246716924934115,0.007633587786259542,0.0
57,0.0051813471502590676,0.0012614677338264957,0.0,0.0023623068695304375,0.007633587786259542,0.0
58,0.005747126436781609,0.0013374958474359046,0.0,0.002412709058608839,0.007633587786259542,0.0
